Address,Baths,Beds,Price,Size,Suffix
"Plot No:315-317, Road # 10, Block # D (Near Apollo International Hospital )",3,3,"7,000","1,560 sqft", per sqft
"road-15,house-37,block-d,secation-12",2,2,"5,200,000",650 sqft, total price
"97,Borobagh,Mirpur-2,Dhaka-1216",4,6,"5,000","2,800 sqft", per sqft
Kathalbagan,2,3,"5,500","1,050 sqft", per sqft
"road-08,house-141,block-e,secation-11",2,2,"4,000,000",723 sqft, total price
"road-2,house-24,block-b,secation-12",3,3,"7,000,000","1,350 sqft", total price
mirpur 12,2,2,"2,200,000",878 sqft, total price
Road 4 Block C,2,3,"7,500","1,472 sqft", per sqft
Basundhara R/A,3,3,"6,300","1,800 sqft", per sqft
Gulshan north,4,4,"19,500","3,950 sqft", per sqft
Gulshan north,4,4,"19,000","3,200 sqft", per sqft
Gulshan north,4,4,"19,000","3,580 sqft", per sqft
"Gulshan 1 Dhaka 1212, Flat For Sale",5,4,"30,000,000","3,100 sqft", total price
Gulshan 2 Dhaka Apartments Flat For Sale,4,3,"47,000,000","2,500 sqft", total price
Gulshan,5,4,"50,000,000","3,600 sqft", total price
savar,2,3,"3,200","1,000 sqft", per sqft
Gulshan North,4,4,"20,000","3,500 sqft", per sqft
Baridhara diplomatic zone,5,5,"20,000","12,000 sqft", per sqft
"lBHA#6, South Badda , Gulshan Dhaka",4,3,"6,000","1,800 sqft", per sqft
"plot-10,ro-05,Bl-J, Bonosiree",5,4,"5,100","1,820 sqft", per sqft
"House No: 32/12/1/C, Sultanganj (beside beribadh road), Rayer Bazar, Mohammadpur, Dhaka.",2,2,"5,800,000",700 sqft, total price
Baridhara  D/Z,3,3,"19,000","2,500 sqft", per sqft
Gulshan 01,4,4,"15,500","3,550 sqft", per sqft
Gulshan 01,4,4,"17,500","5,250 sqft", per sqft
Gulshan 02,4,4,"19,500","4,250 sqft", per sqft
Gulshan 02,4,4,"19,500","4,450 sqft", per sqft
Gulshan 02,4,4,"19,000","4,450 sqft", per sqft
"Palashnagar, Mirpur 11",3,3,"5,000,000","1,240 sqft", total price
Uttara,4,3,"11,500,000","1,550 sqft", total price
"road-15,house-37,block-d,secation-12",2,2,"2,700,000",650 sqft, total price
Uttara,3,3,"8,500,000","1,400 sqft", total price
Uttara,2,2,"5,500,000",950 sqft, total price
Gulshan,4,4,"60,000,000","2,950 sqft", total price
"road-04,house-227,228,block-ta,secation-12",2,2,"2,800,000",750 sqft, total price
Uttara,3,3,"14,000,000","1,910 sqft", total price
Uttara,2,3,"7,500,000","1,250 sqft", total price
"road-2,house-24,block-b,secation-12",3,3,"7,000,000","1,350 sqft", total price
Uttara Sector 11,4,4,"6,500","1,850 sqft", per sqft
Baridhara diplomatic zone,3,3,"21,000","2,580 sqft", per sqft
Baridhara diplomatic zone,4,4,"21,000","3,850 sqft", per sqft
Baridhara diplomatic zone,4,4,"21,500","3,680 sqft", per sqft
Baridhara diplomatic zone,4,4,"21,500","4,250 sqft", per sqft
Baridhara,4,4,"21,500","4,250 sqft", per sqft
UTTARA SECTOR - 4,4,3,"7,350","1,450 sqft", per sqft
"PLOT # 658, ROAD #9, BLOCK # I, BASHUNDHARA , DHAKA",3,4,"6,200","1,900 sqft", per sqft
Uttara,4,3,"7,650",142 sqft, per sqft
"road-04,house-27,28,block-ta,secation-12",2,2,"2,800,000",750 sqft, total price
Gulshan north,4,4,"17,500","4,250 sqft", per sqft
"road-2,house-24,block-b,secation-12",3,3,"7,000,000","1,350 sqft", total price
"House#24, Road#5,Block#J, Banasree, Dhaka.",2,3,"4,800",950 sqft, per sqft
"Bashundhara, Road#10, Block# D.",3,3,"7,200","1,620 sqft", per sqft
Bashundhara,3,3,"12,000,000","1,800 sqft", total price
Uttara,4,3,"7,500,000","1,410 sqft", total price
Uttara,3,3,"11,000,000","1,662 sqft", total price
"Sector - 04, Uttara, Dhaka .",3,3,"14,000,000","1,400 sqft", total price
"Sector - 04, Uttara, Dhaka .",3,3,"10,000,000","1,450 sqft", total price
mirpur,3,2,"4,500,000","1,050 sqft", total price
"Malibagh Pabna Colony Road, 3rd Floor [Front Facing]",3,3,"7,500,000","1,140 sqft", total price
"Sector - 04, Uttara, Dhaka .",4,3,"9,000","2,000 sqft", per sqft
GULSHAN,4,3,"12,000","2,430 sqft", per sqft
