Address,Baths,Beds,Price,Size,Suffix
"Sarker Sayda Kutir, , Sangrami Sarani Road, Azampur( Near of 04 Sector at Uttara,Dhaka-1230",3,3,"4,500","1,159 sqft", per sqft
"Plot # 67, Block # B, Road # 8, Basundhara R/A, Dhaka.",4,4,"9,000","1,900 sqft", per sqft
"House # 269, New Elephant Road (Vojjo Teler Goli), Dhaka-1205.",3,3,"8,500","1,173 sqft", per sqft
"Kathalbagan, Road 1,  Flat B2. Amecas Roshon Castle.",4,3,"20,000,000","2,200 sqft", total price
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,563 sqft", per sqft
"road-04,house-27,28,block-ta,secation-12",2,2,"2,700,000",750 sqft, total price
"Plot-22,Road-09,Block-M,Banasree,Dhaka",3,3,"4,800","1,550 sqft", per sqft
"Mirpur Dohs, Mirpur Dhaka.",4,4,"17,500,000","2,200 sqft", total price
"International Airport Road, Dhaka-1213,",4,3,"20,500,000","2,000 sqft", total price
Lalmatia,4,3,"10,500","1,750 sqft", per sqft
Dhanmondi,4,3,"12,500","2,175 sqft", per sqft
Banani,3,3,"8,500","2,012 sqft", per sqft
Uttara Dhaka -1230,4,3,"6,500","1,550 sqft", per sqft
Bashundhara,4,3,"12,000,000","1,790 sqft", total price
"Sector# 07, Uttara, Dhaka, 1230",5,4,"21,000,000","2,500 sqft", total price
"Road - 9, South Baridhara, DIT Project, Merul Badda, Dhaka.",2,2,"4,500,000",850 sqft, total price
"Plot No.109/5/B,west Dhanmondi,Dhaka.",3,3,"6,800","1,210 sqft", per sqft
"Plot: 448, Road No: 09, Block: K, Bashundhara R/A",4,4,"6,500","2,135 sqft", per sqft
"nokshikola tower 2,ati bazer cng stand,near md.pur,dhaka",3,3,"3,200","1,000 sqft", per sqft
10/1 iqbal road,3,3,"6,500","1,400 sqft", per sqft
"22, K. M. Dash Lane, Tikatuli Dhaka-1203",3,3,"5,500","1,305 sqft", per sqft
Basundhara R/A,3,3,"7,150","1,564 sqft", per sqft
"Sector 7, Uttara, Dhaka.",4,3,"12,500,000","1,610 sqft", total price
Mirpur,2,2,"2,800,000",750 sqft, total price
"77, Karatitola, Saydabad",2,3,"4,800,000","1,150 sqft", total price
"ROAD # 23,PLOT-773, BASHUNDHARA (nEAR MEHDI MART)",3,3,"6,000","1,550 sqft", per sqft
"Plot No.109/5/B,west Dhanmondi,Dhaka.",3,3,"6,800","1,210 sqft", per sqft
"Road No.10, Baitul Aman Housing Society, Adabar, Mohammedpur, Dhaka",2,3,"3,500,000","1,150 sqft", total price
"Navana Garden, Kallyanpur, Dhaka- 1207 (Behind Razia Tower), adjacent to Miprur Road (Main Road)",2,2,"3,100,000",800 sqft, total price
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,550 sqft", per sqft
"Beside The Sector#10.Road#09.House#08, Uttara, Dhaka",2,3,"4,900","1,050 sqft", per sqft
"Plot: 310, Road No: 10, Block: J, Bashundhara R/A",4,3,"6,500","1,888 sqft", per sqft
"27/28, Bahadurpur lane, Faridabad, Gandaria-Dhaka",2,3,"4,000","1,150 sqft", per sqft
"24/A, Tipu-sultan Road, Wari",3,3,"7,500","1,423 sqft", per sqft
"22, K.M, Das Lane,Tikatuli",3,3,"5,500","1,195 sqft", per sqft
"road-12,house-21,block-d,section-12",2,2,"3,000,000",720 sqft, total price
"road-4,house-227,228,block-ta,section-12",2,2,"2,800,000",750 sqft, total price
"Plot No.109/5/B,west Dhanmondi,Dhaka.",3,3,"6,800","1,210 sqft", per sqft
Bashundhara,4,3,"9,500","2,000 sqft", per sqft
Bashundhara,4,3,"9,500","2,000 sqft", per sqft
Bashundhara,3,3,"7,500","1,565 sqft", per sqft
Bashundhara,3,3,"7,500","1,565 sqft", per sqft
Mirpur,4,4,"12,000","2,360 sqft", per sqft
Mirpur,4,4,"7,500","2,200 sqft", per sqft
Mirpur,5,4,"18,000,000","2,200 sqft", total price
Mirpur,5,4,"18,000,000","2,200 sqft", total price
Mirpur,5,3,"8,500","2,200 sqft", per sqft
Mirpur,5,3,"8,500","2,200 sqft", per sqft
Gulshan,5,4,"20,000","3,950 sqft", per sqft
Uttara,3,3,"11,500,000","1,376 sqft", total price
Uttara,3,3,"11,500,000","1,376 sqft", total price
Uttara,3,3,"12,500,000","1,450 sqft", total price
Uttara,3,3,"12,500,000","1,450 sqft", total price
"ফায়দাবাদ মেইন রোড(মিজানের গ্যারেজ), দক্ষিণখান, উত্তরা, ঢাকা-১২৩০।",2,3,"3,800","1,050 sqft", per sqft
"Plot # 403,404, Road# 8, Block-D, Bashundhara R/A",3,3,"6,500","1,595 sqft", per sqft
"Plot # 403,404, Road# 8, Block-D, Bashundhara R/A",4,3,"6,500","1,600 sqft", per sqft
Banani,5,4,"13,500","3,700 sqft", per sqft
Gulshan 2,4,4,"43,200,000","3,200 sqft", total price
"manikdi namapara road,dhaka cantonment beside ECB chottor",2,3,"3,500","1,225 sqft", per sqft
Gulshan Dhaka,4,3,"37,820,000","2,440 sqft", total price
"1,Central Bashabo,Dhaka.",3,3,"5,800","1,440 sqft", per sqft
"Plot: 310, Road No: 10, Block: J, Bashundhara R/A",4,3,"6,500","1,889 sqft", per sqft
"road-12,house-21,block-d,section-12",2,2,"3,000,000",720 sqft, total price
"Plot: 448, Road No: 09, Block: K, Bashundhara R/A",4,4,"6,500","2,135 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,558 sqft", per sqft
Bashundara F Block,3,3,"6,450","1,550 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,699","2,550 sqft", per sqft
Gulshan -2,4,3,"18,000,000","1,900 sqft", total price
"Front of Chines, Mirpur-1, Dhaka-1216",3,3,"2,300,000","1,250 sqft", total price
"Basundhara Riverview, South Keranigang, Dhaka 1311",2,3,"3,500","1,200 sqft", per sqft
DOHS MIRPUR,3,3,"13,000,000","1,600 sqft", total price
"road-N/6,house-H/25,block-H,Eastern Housing",3,3,"7,200,000","1,600 sqft", total price
"road-4,house-227,228,block-ta,section-12",2,2,"2,800,000",750 sqft, total price
"road-12,house-21,block-d,section-12",2,2,"3,000,000",720 sqft, total price
"road-08,house-141,block-E,section-11",2,2,"4,000,000",720 sqft, total price
"বাড়ী নং: ৬৩/ আই /১, শেরেবাংলা রোড, কাটাসুর, মোহাম্মদপুর, ঢাকা",3,4,"5,600","1,515 sqft", per sqft
Gulshan North,4,3,"20,000","3,750 sqft", per sqft
"147, South Jatrabari Dhaka (Near Jatrabari Circle)",3,3,"4,900","1,360 sqft", per sqft
Gulshan 2 Dhaka  Residential Flat  Sale,3,3,"22,000,000","2,010 sqft", total price
Dhanmondi,4,3,"22,000,000","1,850 sqft", total price
sector 6,4,3,"11,000,000","1,550 sqft", total price
Mirpur,4,3,"16,500,000","2,200 sqft", total price
Mirpur,4,3,"16,500,000","2,200 sqft", total price
Mirpur,4,4,"18,000,000","2,150 sqft", total price
MIrpur,4,4,"18,000,000","2,150 sqft", total price
Khilgaon,2,2,"8,000,000","1,050 sqft", total price
Mirpur,2,4,"8,000","2,400 sqft", per sqft
Mirpur,2,4,"8,000","2,400 sqft", per sqft
Mirpur,3,3,"24,000,000","2,200 sqft", total price
Mirpur,3,3,"24,000,000","2,200 sqft", total price
Uttara,4,3,"15,000,000","1,686 sqft", total price
"Plot No:315-317, Road # 10, Block # D (Near Apollo International Hospital )",3,3,"7,000","1,560 sqft", per sqft
Uttara,4,3,"15,000,000","1,686 sqft", total price
Mirpur,3,3,"7,500","1,100 sqft", per sqft
Mirpur,3,3,"7,500","1,100 sqft", per sqft
Baridhara diplomatic zone,4,4,"21,000","3,950 sqft", per sqft
Baridhara diplomatic zone,5,4,"19,000","4,200 sqft", per sqft
Gulshan 02,3,3,"16,000","3,000 sqft", per sqft
Bashundhara,3,3,"17,500,000","2,050 sqft", total price
Bashundhara,3,3,"17,500,000","2,050 sqft", total price
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,550 sqft", per sqft
"Plot: 310, Road No: 10, Block: J, Bashundhara R/A",4,3,"6,500","1,880 sqft", per sqft
"Plot 4/2, Block E, Lalmatia Housing Estate",3,3,"12,000","1,651 sqft", per sqft
"Uttara , Sector-1, Dhaka- 1230",5,4,"30,000,000","2,636 sqft", total price
Block= A  road= 15 south facing,5,4,"13,500,000","2,250 sqft", total price
Gulshan 01,3,3,"20,000,000","1,850 sqft", total price
Gulshan north,3,3,"15,000","2,660 sqft", per sqft
Gulshan north,3,3,"15,000","3,060 sqft", per sqft
Gulshan north,3,3,"19,500","2,950 sqft", per sqft
"Plot# 24, Road# 10, Sector # 04, Uttara model town",3,3,"7,000","2,300 sqft", per sqft
"Plot No.109/5/B,west Dhanmondi,Dhaka.",3,3,"6,850","1,210 sqft", per sqft
"road-07,house-119,block-b,section-12",3,3,"7,000,000","1,350 sqft", total price
"Falu Tower Modhubagh Road, Dhaka",2,2,"5,000,000",900 sqft, total price
Baridhara diplomatic zone,4,4,"21,000","3,650 sqft", per sqft
Middle Gulshan Apartments Flat For Sale,4,3,"28,000,000","2,430 sqft", total price
Gulshan 2 Dhaka,3,3,"22,000,000","2,010 sqft", total price
Gulshan road 104,4,3,"16,500","2,450 sqft", per sqft
"road-N/6,plot-H/25,block-h,eastran housing",3,3,"7,200,000","1,600 sqft", total price
"plot-447, road-15, block-J, basundhara R/A",2,3,"5,800","1,010 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,557 sqft", per sqft
"road-N/6,plot-H/25,block-h,eastran housing",3,3,"7,200,000","1,600 sqft", total price
"60 feet Road,Bareak mollar mor,Mirpur-02",3,3,"4,500,000","1,125 sqft", total price
"B-253,Khilgaon,R/A(East of Matir Mosjid,Beside the Mukti Nursing)",2,3,"5,500","1,120 sqft", per sqft
"Road #10, Plot# 719, 720, DOHS mirpur",5,4,"6,500","2,500 sqft", per sqft
"road-15,house-37,block-d,section-12",2,2,"5,200,000","1,300 sqft", total price
"road-15,house-37,block-d,section-12",3,3,"5,200,000","1,300 sqft", total price
"road-07,house-119,block-b,section-12",3,3,"8,000,000","1,350 sqft", total price
"road-2,house-10,block-b,section-12",3,3,"7,000,000","1,350 sqft", total price
"Plot No.109/5/B,west Dhanmondi,Dhaka.",3,3,"6,855","1,210 sqft", per sqft
Gulshan Nikaton,3,3,"13,000,000","1,610 sqft", total price
Gulshan-02,5,4,"16,500","3,370 sqft", per sqft
south mollartak borttola near by airport hajicamp,2,3,"4,500,000","1,038 sqft", total price
south mollartak borttola dakkinkhan near by uttara airport hajicamp,2,3,"4,500,000","1,035 sqft", total price
south mollartak borttola dakkinkhan near by uttara airport hajicamp,3,3,"4,100","1,054 sqft", per sqft
south mollartak borttola dakkinkhan near by uttara airport hajicamp,2,3,"3,500","1,030 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,690","2,550 sqft", per sqft
Basundhara R/A,3,3,"7,000","1,610 sqft", per sqft
"Uttara-12, Road-14",3,3,"6,500","1,400 sqft", per sqft
Gulshan north,4,4,"20,000","4,500 sqft", per sqft
Gulshan north,4,4,"20,000","4,500 sqft", per sqft
Gulshan north,4,4,"20,500","4,050 sqft", per sqft
"House # 173,Road#10,Block # B,Sector #12,Mirpur,Dhaka.",6,6,"14,000,000","2,660 sqft", total price
"Senpara Parbata, Mirpur 10",3,3,"6,300,000","1,380 sqft", total price
Uttara Kamar Para,2,2,"4,000,000","1,000 sqft", total price
"Lalmatia , Dhaka 1209",5,4,"12,000","2,245 sqft", per sqft
"261/3,manikdi namapara road,dhaka cantonment beside ECB chottor",2,3,"3,500","1,225 sqft", per sqft
"House -61, Road No-04, South Mollartake, Dokkhan khan, Dhaka-1230.",3,3,"4,500","1,250 sqft", per sqft
Basundhara R/A,3,3,"6,950","1,555 sqft", per sqft
Gulshan north,4,4,"20,500","4,050 sqft", per sqft
"S # 12, R # 16",3,3,"5,900","1,626 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,550 sqft", per sqft
"road-15,house-37,block-d,section-12",3,3,"5,200,000","1,300 sqft", total price
"Plot # 403,404, Road# 8, Block-D, Bashundhara R/A",3,3,"6,500","1,650 sqft", per sqft
"Plot # 403,404, Road# 8, Block-D, Bashundhara R/A",3,3,"6,500","1,560 sqft", per sqft
Plot no-,4,3,"7,800","1,554 sqft", per sqft
"Plot: 310, Road No: 10, Block: J, Bashundhara R/A",4,3,"6,500","1,882 sqft", per sqft
"Plot: 448, Road No: 09, Block: K, Bashundhara R/A",4,4,"6,500","2,140 sqft", per sqft
"Block - C, Bashundara R/A, Dhaka.",5,4,"10,000","3,510 sqft", per sqft
"road-12,house-21,block-d,section-12",2,2,"3,000,000",720 sqft, total price
Dhanmondi,4,3,"13,000","2,200 sqft", per sqft
Dhanmondi,4,3,"21,000,000","2,254 sqft", total price
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,690","2,558 sqft", per sqft
"Plot: 310, Road No: 10, Block: J, Bashundhara R/A",4,3,"6,500","1,883 sqft", per sqft
"ULUDAHA SOBUR GONI MARKET,BAUNIYA, TURAG",2,3,"3,500","1,120 sqft", per sqft
"Plot: 448, Road No: 09, Block: K, Bashundhara R/A",3,4,"6,500","2,134 sqft", per sqft
"ULUDAHA SOBUR GONI MARKET,BAUNIYA, TURAG",2,3,"3,500","1,030 sqft", per sqft
Gulshan north,4,4,"17,000","3,650 sqft", per sqft
Gulshan north,4,3,"16,000","3,200 sqft", per sqft
Gulshan north,4,4,"18,000","4,000 sqft", per sqft
"Plot No.109/5/B,west Dhanmondi,Dhaka.",3,3,"6,800","2,820 sqft", per sqft
"235 Elephant Road, near bata singnal, Newmarket,Dhaka.",3,3,"10,500","1,400 sqft", per sqft
"Panthachaya, 152/2/G1, 152/2/G/2, Green Road, 60, North Dhanmondi, Kalabagan, Dhaka.",3,3,"17,700,000","1,475 sqft", total price
"Plot # 712/22/3, Road number # 10, Baitul Aman Housing Society, Adabor, Dhaka",3,3,"5,100,000","1,150 sqft", total price
Baridhara diplomatic zone,4,4,"18,000","4,000 sqft", per sqft
Gulshan north,4,4,"18,000","3,800 sqft", per sqft
Baridhara diplomatic zone,3,3,"17,000","2,200 sqft", per sqft
Sector-4,4,3,"9,500,000","1,470 sqft", total price
"Plot# 24, Road# 10, Sector # 04, Uttara model town",5,4,"7,100","2,300 sqft", per sqft
"প্লট-3115,316,317, রোড-10, ব্লক-ডি, বসুন্ধরা অ/এ, ঢাকা",4,3,"7,000","1,620 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,562 sqft", per sqft
Bashundhara B block,3,3,"8,500","2,300 sqft", per sqft
"109/5/B, West Dhanmondi, Dhaka.",3,3,"6,800","1,233 sqft", per sqft
"সেক্টর: ৩, রোড: ৪, উত্তরা।",4,3,"11,000,000","1,613 sqft", total price
"ULUDAHA SOBUR GONI MARKET,BAUNIYA, TURAG",2,3,"3,500","1,010 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,690","2,551 sqft", per sqft
"Green Corner, Green Road, Dhaka -1205.",3,3,"6,500,000","1,155 sqft", total price
Uttara Sector-13,3,3,"9,000,000","1,514 sqft", total price
Uttara Sector-12,3,3,"8,900,000","1,600 sqft", total price
নিকুঞ্জ 2 . Road 1 কবি ফারুক সরণি,3,3,"11,000,000","1,530 sqft", total price
"ULUDAHA SOBUR GONI MARKET,BAUNIYA, TURAG",2,2,"3,500",870 sqft, per sqft
"Boro Moghbazar , Mogbazar Dhaka",4,3,"5,750","1,285 sqft", per sqft
near faizur rahman ideal Institute.,2,3,"4,750",950 sqft, per sqft
"South monipur,60 feet,Bareak mollar mor,Mirpur-02",3,3,"4,000","1,130 sqft", per sqft
"Sector # 3 @ Uttara, Dhaka - 1230",4,3,"12,500,000","1,478 sqft", total price
Uttara Sector-04,4,3,"8,500","2,000 sqft", per sqft
Uttara,4,3,"30,000,000","2,600 sqft", total price
Uttara,4,3,"30,000,000","2,600 sqft", total price
"road-12,house-21,block-d,section-12",2,2,"3,000,000",720 sqft, total price
"Section: 12, Block-B, Road-03, Home-60",3,3,"7,000,000","1,350 sqft", total price
"Plot: 448, Road No: 09, Block: K, Bashundhara R/A",4,4,"6,500","2,135 sqft", per sqft
Bashundhara,3,3,"10,500,000","1,500 sqft", total price
Bashundhara,4,4,"18,000,000","2,000 sqft", total price
Bashundhara,4,4,"18,000,000","2,000 sqft", total price
Bashundhara,4,4,"18,000,000","2,000 sqft", total price
"Gulshan, Dhaka",4,3,"12,000","2,470 sqft", per sqft
Khilgaon,2,4,"5,000","1,925 sqft", per sqft
Khilgaon,2,4,"5,000","1,925 sqft", per sqft
Khilgaon,2,4,"5,000","1,925 sqft", per sqft
"Plot # 67, Block # B, Road # 8, Basundhara R/A, Dhaka.",4,4,"9,000","1,900 sqft", per sqft
Khilgaon,2,3,"5,000","1,125 sqft", per sqft
Khilgaon,2,3,"5,000","1,125 sqft", per sqft
"Plot No.109/5/B,west Dhanmondi,Dhaka.",3,3,"6,800","1,210 sqft", per sqft
Khilgaon,2,3,"5,000","1,175 sqft", per sqft
Mirpur,4,4,"16,000,000","2,200 sqft", total price
Mirpur,4,4,"16,000,000","2,200 sqft", total price
Mirpur,5,4,"20,000,000","2,200 sqft", total price
Mirpur,5,4,"20,000,000","2,200 sqft", total price
Mirpur,3,3,"8,000,000","1,200 sqft", total price
Mirpur,3,3,"8,000,000","1,200 sqft", total price
Mirpur,3,3,"8,000,000","1,200 sqft", total price
"Sector 11, Road 15 @ Uttara Dhaka  1230",4,4,"9,500,000","1,834 sqft", total price
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,690","2,557 sqft", per sqft
"In Front of Chines, Sha-Alibugh , Mirpur-1, Dhaka-1216",3,4,"4,500,000","1,450 sqft", total price
BARIDHARA,4,3,"38,500,000","3,300 sqft", total price
"87/2 West Dhanmondi, Shankar, Dhaka.",3,3,"13,500,000","1,545 sqft", total price
"80/A Enayat Gonj , Pilkhana ,Dhaka-1205 .",2,2,"3,000","1,100 sqft", per sqft
"1, Central Bashabo.",3,3,"5,500","1,476 sqft", per sqft
"তেতুল তলা, হজ্জ কেম্প, আশ কোনা এয়ারপোট, উওরা, ঢাকা।",2,3,"4,000,000","1,080 sqft", total price
"109/5/B, West Dhanmondi, Dhaka.",3,3,"6,800","1,250 sqft", per sqft
Uttara Sector-13,4,3,"13,500,000","1,575 sqft", total price
"Plot # 221, Road # 08, Block # J, Bashundhara R/A, Dhaka-1229.",5,4,"6,800","2,450 sqft", per sqft
"Plot # 253, Road # 07, Block # I, Bashundhara R/A, Dhaka-1229.",4,3,"6,500","1,650 sqft", per sqft
"ফায়দাবাদ মেইন রোড(মিজানের গ্যারেজ), দক্ষিণখান, উত্তরা, ঢাকা-১২৩০।",2,3,"3,800","1,050 sqft", per sqft
"Plot # 20,21,22, Road # 03, Block # A, Chandrima Model Town, Mohammadpur, Dhaka",3,3,"3,800","1,450 sqft", per sqft
"109/5/B, West Dhanmondi, Dhaka.",3,3,"6,800","1,200 sqft", per sqft
"Plot: 310, Road No: 10, Block: J, Bashundhara R/A",4,3,"6,500","1,880 sqft", per sqft
Gulshan,5,4,"90,000,000","5,300 sqft", total price
"Address: Holding # 465 , Senpara Porbota, Mirpur 13, Dhaka",3,3,"4,800","1,495 sqft", per sqft
Dhanmondi,4,3,"49,000,000","2,900 sqft", total price
"manikdi namapara road,dhaka cantonment beside ECB chottor",2,3,"3,500","1,166 sqft", per sqft
"320 /B, Block : B, Khilgaon, Dhaka- 1219",4,4,"12,000,000","1,750 sqft", total price
"south mollartak borttola,beside airport hajjcamp civil aviation colony_ঢাকা ওয়াসা পানির পাম্প",2,3,"4,000,000","1,038 sqft", total price
"Modhumita Road,Tongi,Gazipur Beside Bata Head Office & Shahid Ahsan Ullah Mastar Stadium",2,3,"3,500","1,028 sqft", per sqft
"road-07,house-119,block-b,section-12",3,3,"8,000,000","1,350 sqft", total price
"ULUDAHA SOBUR GONI MARKET,BAUNIYA, TURAG",2,3,"3,500","1,030 sqft", per sqft
Gulshan1area Dhaka Apartments Flat Sale,4,3,"25,000,000","2,400 sqft", total price
"road-12,house-21,block-d,section-12",2,2,"3,000,000",720 sqft, total price
"road-15,house-37,block-d,section-12",4,4,"5,200,000","1,350 sqft", total price
"road-15,house-37,block-d,section-12",2,2,"3,600,000",650 sqft, total price
"road-02,house-24,block-b,section-12",3,3,"7,000,000","1,350 sqft", total price
"City Complex, Ashkona, Airport, Uttara, Dhaka.",4,4,"13,000,000","2,550 sqft", total price
"Plot # 52/2, Road # 2/1, Pallobi, Mirpur, Dhaka.",2,2,"4,500",650 sqft, per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,690","2,564 sqft", per sqft
"west manikdi,dhaka cantonment.dhaka- 1230.",2,3,"3,500","1,196 sqft", per sqft
"Iqbal Road, Mohammadpur",4,3,"18,000,000","1,700 sqft", total price
Khilgaon,2,3,"5,000","1,175 sqft", per sqft
Mohakhali DOHS,2,3,"16,000,000","1,400 sqft", total price
Mohakhali DOHS,2,3,"16,000,000","1,400 sqft", total price
Mohakhali DOHS,2,3,"16,000,000","1,400 sqft", total price
Mirpur,2,3,"4,500,000","1,100 sqft", total price
Banani,3,3,"22,000,000","2,200 sqft", total price
Banani,3,3,"22,000,000","2,200 sqft", total price
Banani,3,4,"28,000,000","2,300 sqft", total price
Banani,3,4,"280,000,000","2,300 sqft", total price
RAJUK PURBACHAL NEW TOWN SECTOR-2.,3,3,"3,600","1,800 sqft", per sqft
Khilkhet Moddhopara,5,4,"2,350","2,380 sqft", per sqft
"109/5/B, West Dhanmondi, Dhaka.",3,3,"6,800","1,200 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,699","2,568 sqft", per sqft
Baridhara park road,4,3,"13,000","2,150 sqft", per sqft
Badda Link Road,5,4,"17,000,000","2,300 sqft", total price
"Road # 11, House # 767 A, Mirpur DOHS",4,3,"18,000,000","2,200 sqft", total price
"south mollartak borttola,ashkona beside hajjcamp civil aviation colony",2,3,"3,850","1,045 sqft", per sqft
"manikdi namapara road,dhaka cantonment beside ECB chottor",2,3,"3,450","1,220 sqft", per sqft
"Modhumita Road,Tongi,Gazipur Beside Bata Head Office",2,3,"3,500","1,048 sqft", per sqft
"বাড়ী নং: ৬৩/ আই /১, শেরেবাংলা রোড, কাটাসুর, মোহাম্মদপুর, ঢাকা",3,3,"5,600","1,110 sqft", per sqft
"road-15,house-37,block-d,section-12",2,2,"2,700,000",650 sqft, total price
"Banani , Dhaka 1213",4,3,"10,250","2,000 sqft", per sqft
"south mollartak borttola,ashkona beside hajjcamp civil aviation colony",3,3,"4,600","1,250 sqft", per sqft
"Sector - 13, Uttara, Dhaka .",3,3,"7,000","1,350 sqft", per sqft
"Bashundhara R/A, Road#23, Block-F, Plot-773",4,3,"6,000","1,550 sqft", per sqft
"109/5/B, West Dhanmondi, Dhaka.",3,3,"6,800","1,255 sqft", per sqft
"1, Central Bashabo.",3,3,"5,500","1,444 sqft", per sqft
"বাড়ী নং: খ-১৭, শাহ্জাদপুর, গুলশান-০২, ঢাকা।",3,3,"5,600","1,263 sqft", per sqft
"594,Chalabon,Dakkinkhan near matir mosjid & CNG Pump",4,5,"3,500","1,920 sqft", per sqft
"Weast manikdi namapara road,dhaka cantonment beside ECB chottor",2,3,"3,500","1,235 sqft", per sqft
"Address: Holding # 465 , Senpara Porbota, Mirpur 13, Dhaka",3,3,"4,800","1,420 sqft", per sqft
"Sector # 3, Road # 7 @ Uttara",2,2,"7,000,000","1,000 sqft", total price
Mirpur,2,3,"4,500,000","1,100 sqft", total price
"House:00, Kalabagan, Dhaka.",5,4,"20,000,000","2,500 sqft", total price
Mirpur,2,3,"4,500,000","1,100 sqft", total price
Mohakhali,2,3,"17,000,000","1,375 sqft", total price
Mohakhali,2,3,"17,000,000","1,375 sqft", total price
"road-02,house-24,block-b,section-12",3,3,"7,000,000","1,350 sqft", total price
"road-15,house-37,block-d,section-12",2,2,"2,700,000",650 sqft, total price
"Plot: 448, Road No: 09, Block: K, Bashundhara R/A",4,4,"6,500","2,142 sqft", per sqft
"বাড়ী নং: খ-১৭, শাহ্জাদপুর, গুলশান-০২, ঢাকা।",3,3,"5,600","1,475 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"22,900,000","2,548 sqft", total price
"Mirpur wasa road shewerapara, Dhka",3,3,"3,500","1,250 sqft", per sqft
"Holding No # 669, Gabtola, Nayatola jaha Box Lane, Mogbazar, Dhaka 1217",2,3,"5,400","1,230 sqft", per sqft
"Sector # 5, Road # 7 @ Uttara",4,5,"13,500,000","1,895 sqft", total price
Mirpur,4,3,"24,000,000","2,200 sqft", total price
Mirpur,4,3,"24,000,000","2,200 sqft", total price
Mirpur,2,4,"9,000","2,200 sqft", per sqft
Mirpur DOHS,3,3,"10,000","2,200 sqft", per sqft
Mirpur DOHS,3,3,"10,000","2,200 sqft", per sqft
"Address: Holding # 465 , Senpara Porbota, Mirpur 13, Dhaka",3,3,"4,800","1,495 sqft", per sqft
"109/5/B, West Dhanmondi, Dhaka.",3,3,"6,800","1,200 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,690","2,558 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"23,900,000","2,560 sqft", total price
"Address: Holding # 465 , Senpara Porbota, Mirpur 13, Dhaka",3,3,"4,800","1,550 sqft", per sqft
"road-12,house-21,block-d,section-12",2,2,"3,000,000",720 sqft, total price
"Plot# 403 404, Road # 8, Block -D, Bashundhara, Dhaka.",3,3,"6,800","1,498 sqft", per sqft
"594,Chalabon,Dakshinkhan near matir mosjid & CNG Pump",2,2,"3,500",955 sqft, per sqft
"Front of Chines, Sha-Alibugh , Mirpur-1, Dhaka-1216",3,4,"4,800,000","1,550 sqft", total price
"Plot: 448, Road No: 09, Block: K, Bashundhara R/A",3,4,"6,500","2,133 sqft", per sqft
"1, Central Bashabo.",3,3,"5,500","1,470 sqft", per sqft
"249/55,West Mollartak Borttola,Dakkinkhan,beside uttara sector-4",3,3,"6,000,000","1,250 sqft", total price
"Sector # 13, Road # 17 @ Uttara, Dhaka - 1230",4,3,"12,000,000","1,600 sqft", total price
"west manikdi, namapara, cantonment, dhaka.",2,3,"3,500","1,196 sqft", per sqft
"modumita road, tongi , opposite Bata show room.",2,3,"3,500","1,045 sqft", per sqft
"Plot No.109/5/B,west Dhanmondi,Dhaka.",3,3,"6,800","1,210 sqft", per sqft
"haj camp , besides civil aviation quarter.",3,3,"4,800","1,330 sqft", per sqft
"Plot: 310, Road No: 10, Block: J, Bashundhara R/A",4,3,"6,500","1,890 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"22,900,000","2,562 sqft", total price
"Gulshan-2, Dhaka",4,4,"16,300","4,139 sqft", per sqft
"south mollartak borttola,ashkona beside hajjcamp civil aviation colony",2,3,"4,000,000","1,036 sqft", total price
"Sector - 11, Uttara, Dhaka .",4,3,"11,000,000","1,507 sqft", total price
"Sector - 07, Uttara, Dhaka .",4,4,"8,500","2,650 sqft", per sqft
"Plot # 403,404, Road# 8, Block-D, Bashundhara R/A",3,3,"6,500","1,510 sqft", per sqft
Uttara Dhaka -1230,4,3,"7,350","1,910 sqft", per sqft
Mirpur,3,3,"18,000,000","2,500 sqft", total price
Mirpur,3,3,"18,000,000","2,500 sqft", total price
Uttara,3,3,"10,000,000","1,500 sqft", total price
